,tweet
33,"['counsel', 'gujarat', '9newspap', 'carri', 'advertis', 'given', 'pursuant', 'court', 'order4046appl', 'receivedbenchadvertis', 'must', 'like', 'full', 'particular', 'givennot', 'one', 'two', 'line', 'supremecourt', 'covid19']"
34,"['april', '2020', 'amptyp', 'hyster', 'abus', 'falsehood', 'hurl', 'anyon', 'take', 'skeptic', 'line', 'daysfyiw', 'never', 'post', 'disinfoon', 'covid19w', 'post', 'offici', 'statisticsexpert', 'opinion', 'amprelev', 'commentari', 'question', 'http', 'co', 'zx4yovbsir']"
35,"['open', 'walk', 'vaccin', 'facil', 'need', 'appointmentat', 'borg', 'warner', 'factori', 'monavalley', 'industri', 'estat', 'trale', 'next', 'week', 'anyon', '50', 'age', 'may', 'later', 'reduc', 'hse', 'covid19']"
36,"['', 'uae', 'announc', '14new', 'covid19', 'cases9recoveri', 'death', 'last', '2hour', 'togetherwerecov', 'wamnewshttp', 'co', '5jryilh7uw']"
37,"['', 'askwho', 'live', 'q', 'amp', 'drmikeryan', 'dr', 'mvankerkhov', '16', '00h', 'cet', 'todaywho', 'twitterfacebooklinkedin', 'ampyoutubetun', 'ask', 'question', 'omicron', 'covid19', 'variant', 'concernhttp', 'co', 'gl60ic3cgh']"
38,"['netzfund', 'impfteuchinskni', 'covid19', 'impfschaeden', 'hh181', 'http', 'co', 'ubfhsvecnj']"
39,"['', 'il', 'diavolo', 'fa', 'le', 'pentol', 'non', 'coperchi', 'dopo', 'aver', 'alimentato', 'e', 'celebrato', 'il', 'delirio', 'nazivax', 'ora', 'suddetti', 'nazi', 'vengono', 'direttament', 'colpiti', 'da', 'cich', 'hanno', 'scatenato', 'contro', 'gli', 'altrispiaz', 'greenpassrafforzato', 'supergreenpass', 'tampon', 'covid19', 'covid_19', 'covid']"
40,"['vuelv', 'ver', 'la', 'entrevista', 'de', 'jlmartin_rtvcyl', 'al', 'secretario', 'del', 'comitd', 'experto', 'de', 'castilla', 'león', 'frent', 'la', 'covid19', 'nachorosel', 'en', 'cuestióndeprioridad', 'entrevista', 'completa', 'http', 'co', 'phj8m3zkbvhttp', 'co', 'dw7ri6aqla']"
41,"['cosa', 'sappiamo', 'sul', 'vaccino', 'anti', 'covid19', 'per', 'ragazzi', 'dai', 'agli', '1annidopo', 'la', 'raccomandazion', 'dell', 'ema', 'ed', 'il', 'via', 'libera', 'dell', 'aifad', '1dicembr', 'partiranno', 'le', 'prime', 'vaccinazioni', 'per', 'bambini', 'nella', 'fascia', 'di', 'et5', '1anniecco', 'cosa', 'c', 'da', 'saper', 'http', 'co', 'ox0xxjmmalhttp', 'co', '9vng0v2jhu']"
42,"['vuelv', 'ver', 'la', 'entrevista', 'de', 'jlmartin_rtvcyl', 'al', 'secretario', 'del', 'comitd', 'experto', 'de', 'castilla', 'león', 'frent', 'la', 'covid19', 'nachorosel', 'en', 'cuestióndeprioridad', 'entrevista', 'completa', 'http', 'co', 'zeuydzmyuxhttp', 'co', 'pejl8qoqlg']"
43,"['', 'ianrobodeep', 'cover', 'agent', 'covid19', '']"
44,"['bookmarkedessenti', 'util', 'rat', 'prevent', 'control', 'covid19', 'especi', 'omicronvari', 'move', 'swiftli', '']"
45,"['lv', 'cancelacion', 'en', 'masa', 'desd', 'reino', 'unido', 'al', 'poder', 'viajar', 'con', 'hijoshttp', 'co', '9lkcqlhfco', 'por', 'mateolbelart', 'coronaviru', 'covid19', 'economía', 'viaj']"
46,"['booster', 'book', 'earliest', 'time', 'avail', 'cityjanbojo', 'grand', 'booster', 'rollout', 'happen', 'side', 'christma', 'look', 'super', 'success', 'booster', 'bori', 'covid19']"
47,"['warehous', 'catch', 'fire', 'area', 'covid19', 'outbreak', '8', '1am', 'decemb', '15tha', 'warehous', 'guandu', 'districtkunmingyunnan', 'caught', 'fire', 'smoke', 'billow', 'scene', '']"
48,"['all', 'länder', 'europa', 'mit', 'einer', 'impfquot', 'gt', '65zu', 'beginn', 'der', 'delta', 'well', 'konnten', 'bisher', 'die', 'tgl', 'covid19', 'todesfäl', 'unter', '5', '1million', 'halten', 'ungarn', 'ist', 'auffällighat', 'al', 'einzig', 'land', 'einen', 'totimpfstoff', 'breit', 'eingesetzthttp', 'co', 'taxbiww1d9http', 'co', 'qs8h2e4oo']"
49,"['want', 'covid19', 'jab', 'choiceeven', 'impact', 'nh', 'address', 'medic', 'demand', 'want', 'access', 'non', 'essenti', 'venu', 'need', 'vaccin', 'passport', 'testessenti', 'access', 'selfishstupidmoronshttp', 'co', 'f2imqi5vs0']"
50,"['', 'auspol', 'citizen', 'must', 'decid', 'risk', 'expos', 'prudentavoid', 'cost', 'auspol', 'amp', 'nswpol', 'economi', 'forese', 'futur', 'morrison', 'must', 'support', 'trump', 'call', 'compens', 'communist', 'caus', 'covid19', 'carnag', '']"
51,"['time', 'draintheswamp', 'democrat', 'murder', 'oppressor', 'profit', 'commun', 'america', 'covid19', 'trump', 'maga', 'insurrect', 'impeach', 'corruptionhttp', 'co', 'cnpbposinr']"
52,"['lachen', 'müsste', 'ich', 'jawenn', 'da', 'irgendw', 'dabei', 'istder', 'zb', 'mit', 'der', 'nein', 'kampagn', 'zum', 'covid19', 'gesetz', 'verstrickt', 'ist', 'finanziel', 'hinicht', '']"
53,"['n_landcouncilrt', 'dhscgovukgp', 'drsarahjarvi', 'explain', 'get', 'covid19', 'booster', 'dose', 'help', 'protect', 'love', 'one', 'omicronvari', 'winterboost', 'info', 'http', 'co', 'gfjxgwlwgc', 'getboostednowhttp', 'co', 'dolvgphw2u']"
54,"['', 'fabtxanirova2kx', 'bk5oxrza6ryxano', 'gunma_covid19', '隠れコロナ脳も今日は出現してますね', '']"
55,"['', 'covid19', 'omicron', 'vaccin']"
56,"['sinc', 'start', 'pandemic821', '33american', 'die', 'covid19', '15', '4of', 'death', 'worldwid', '17', '111999', 'oklahoma', 'tornado', 'outbreak', 'kill', '4peopl', '1999', 'http', 'co', 'juydwnrtmu']"
57,"['', 'home', 'hotspotdinn', 'parti', 'karanjohar', 'test', 'neg', 'covid19read', 'http', 'co', 'koerqtlahrhttp', 'co', 'wgosiowuhp']"
58,"['gli', 'unici', 'ad', 'esser', 'immunizzati', 'sono', 'soggettinon', 'siringatich', 'hanno', 'contratto', 'il', 'covid19', 'e', 'sviluppato', 'gli', 'anticorpi', 'naturalinoi', 'non', 'dobbiamo', 'dire', 'grazi', 'nessuno', 'pandemiadivaccinati', 'nogreepass', 'noss', 'draghiingalera']"
59,"['everi', 'adult', 'northeast', 'need', 'get', 'covid19', 'booster', 'vaccinebecaus', 'two', 'dose', 'give', 'enough', 'protect', 'catch', 'omicron', 'getboostednowhttp', 'co', 'zbr4nvhwpe']"
60,"['9new', 'case', 'uganda', '11', '3gmt', 'coronaviru', 'coronavirusupd', 'covid19', 'coronaviruspandem']"
61,"['raport', 'wojewódzki', '15', '12', '202sytuacja', 'epidemiologiczna', 'w', 'powiatach', 'covid19', 'ministerstwozdrowia', 'śląskie', '1minuta', 'wiesz', 'więcej', 'http', 'co', 'nnxw4pdmvc']"
62,"['não', 'cont', 'com', 'anticorpo', 'monoclonai', 'para', 'salvá', 'lo', 'pesquisador', 'alemã', 'descobriram', 'que', 'covid19', 'terapia', 'de', 'anticorpo', 'sintético', 'desenvolvida', 'por', 'eli', 'lilli', 'e', 'regeneron', 'perdem', 'maior', 'part', 'de', 'sua', 'eficácia', 'quando', 'exposta', 'em', 'test', 'de', 'laboratório', 'variant', 'omicron', '']"
63,"['hedg', 'fund', 'vs', 'covid19which', 'side', 'cheer', 'ondecisionsdecis', 'http', 'co', 'n9do00vwe', 'johnsonmustresign']"
64,"['ανταρσίτωτόρικαττομπόριτζόνσογιτνέμέτρ', 'πέρασαχάρστουεργατικούhttp', 'co', '98rqjeukkg', 'covid19', 'protagongr']"
65,"['क', 'र', 'नकत', 'सरलहकल', 'कक', 'सहछत', 'त', 'सगढकत', 'य', 'र', 'द', 'ख', 'प', 'रद', 'कस', 'हसज', 'ड', 'सबसबड', 'स', 'व', 'healthconclav', 'cggovern', 'omicron', 'covid19http', 'co', 'aundfmsz7g']"
66,"['', 'coronaviru', 'covid19', 'covid_19', 'sarscov', 'covid19worldhttp', 'co', 'ufvo4xqu2evalu', 'googl', 'trend', 'convent', 'covid', '19', 'metric', 'via', 'interact', 'framework', '15', '12', '2021', 'select', 'countri', 'http', 'co', 'amvrrx14dk']"
67,"['ikk', 'kapasitet', 'til', 'pcr', 'test', 'all', 'som', 'vil', 'ut', 'av', 'karanteneny', 'karanteneregl', 'har', 'ført', 'til', 'kapasitetsutfordring', 'pkoronasenteret', 'http', 'co', 'rsunpxv9tk', 'fredrikstad', 'korona', 'covid19', 'omikronhttp', 'co', 'rykgsyh8m4']"
68,"['', 'especialcoronaviru', 'sanofi', 'gsk_e', 'anuncian', 'resultado', 'preliminar', 'positivo', 'de', 'su', 'vacuna', 'de', 'refuerzo', 'contra', 'la', 'covid19', 'cc', 'sanofieshttp', 'co', 'umrsyv2rd7']"
